Gene_id	A1	B1	A2	A3	B2	B3	length
G000001	391	1364	464	449	457	560	1203
G000002	18806	8116	21890	24994	6509	14067	517
G000003	24057	21825	15365	26903	21101	27841	1115
G000004	3374	2689	3938	4854	2310	3556	701
G000005	458	3721	437	550	1716	1054	1296
G000006	896	1041	1086	978	905	745	1083
G000007	140	220	244	117	140	78	681
G000008	583	2043	304	634	1398	1197	1713
G000009	3103	15309	5358	3619	9152	10392	1446
G000010	358	559	991	516	281	564	1374
G000011	357	118	449	425	43	746	828
G000012	408	2657	297	397	946	909	2376
G000013	842	1702	858	778	841	847	1716
G000014	187	648	221	239	370	249	573
G000015	329	506	454	402	244	555	1095
G000016	482	1615	883	440	925	751	1230
G000017	1794	1588	1751	1966	1099	1860	1914
G000018	2857	2504	3706	4152	1479	2547	819
G000019	1967	3999	1241	1904	2505	2448	717
G000020	152	434	239	165	273	175	525
G000021	1209	2142	2183	1213	1905	2662	714
G000022	629	2840	676	757	1877	990	854
G000023	355	2243	464	387	642	773	2003
G000024	20726	44511	13534	23889	29748	51077	822
G000025	137	253	142	132	157	200	998
G000026	599	226	599	482	152	254	538
G000027	273	1557	126	336	745	392	1446
G000028	473	5242	263	540	2020	1542	2823
G000029	494	2437	256	618	1333	805	705
G000030	9816	50093	4179	10283	38611	23690	1641
G000031	841	4562	1186	884	1951	1700	1071
G000032	142	438	360	155	224	303	705
G000033	115	303	224	171	143	324	1203
G000034	389	869	504	431	461	477	747
G000035	3939	5679	5722	3803	2633	4409	699
G000036	2368	5546	4196	3393	2860	3659	1545
G000037	773	963	1403	800	372	727	1782
G000038	108	210	90	136	218	121	2340
G000039	6247	13788	8662	8062	10999	10236	988
G000040	156	265	127	131	104	135	369
G000041	2769	16236	4960	2797	10272	5721	1164
G000042	327	1054	773	308	540	926	2028
G000043	10120	9597	9613	12071	6482	20033	1470
G000044	1541	1364	1542	1716	1016	2429	734
G000045	7268	29181	25982	8721	9382	10489	1473
G000046	6448	26702	2748	7248	17954	7609	1037
G000047	624	2285	569	607	816	478	1461
G000048	383	1362	477	440	438	509	2280
G000049	1652	3957	1504	1772	2446	2653	2943
G000050	1041	803	1069	1373	430	808	1542
G000051	1787	1785	3065	2485	868	2691	1506
G000052	5501	3792	4140	6112	1754	3310	834
G000053	999	3643	1197	728	1628	1166	489
G000054	825	1332	909	799	603	757	615
G000055	1625	738	1197	1635	410	1640	948
G000056	730	2256	473	1044	1292	912	1281
G000057	256	211	53	251	174	69	1463
G000058	1795	717	1454	1786	541	1786	1389
G000059	4352	2138	4724	4482	1162	5314	204
G000060	19913	12474	16692	24701	7934	36836	327
G000061	1622	8785	1205	1421	4228	3174	1983
G000062	570	1853	606	623	817	994	2655
G000063	196	434	318	248	166	264	1935
G000064	144	259	298	129	156	137	852
G000065	1595	1732	1604	1511	1520	1253	630
G000066	2329	3801	1994	2361	2157	3459	3236
G000067	2597	9144	3213	3084	2870	4332	1719
G000068	380	1408	263	467	636	380	1631
G000069	10337	8562	17028	13054	7661	9018	558
G000070	5749	5917	4510	5415	3852	6271	1425
G000071	5068	12920	2426	7266	8751	6426	576
G000072	980	988	1188	1474	541	897	1668
G000073	2737	2417	2640	3080	1018	2306	1371
G000074	1149	665	1445	1761	259	1240	1017
G000075	445	638	641	474	272	596	2189
G000076	2438	7249	2575	3009	2562	2537	2988
G000077	183	341	191	210	149	623	693
G000078	31502	12835	27425	31691	8879	18535	516
G000079	544	1504	550	509	436	596	5268
G000080	456	1694	493	459	862	616	2191
G000081	342	753	206	336	385	211	1630
G000082	139	34	122	209	25	36	927
G000083	9018	21372	8706	10740	17420	6702	1467
G000084	786	2977	385	777	987	459	1665
G000085	312	571	414	320	293	352	1770
G000086	21599	35242	46218	22350	19190	54142	1066
G000087	4641	5423	4308	6356	4333	4587	612
G000088	2144	1368	1341	2970	1570	1338	522
G000089	678	1472	1510	750	711	959	1458
G000090	690	629	657	634	317	322	1374
G000091	871	1592	661	933	622	530	1278
G000092	253	282	91	245	43	433	411
G000093	104994	69219	89609	139505	43311	111390	312
G000094	261	377	550	282	222	170	1047
G000095	69	31	117	52	24	31	594
G000096	10764	4831	8305	10281	3275	9290	628
G000097	28565	24855	3650	31440	21216	14491	1620
G000098	1412	5194	809	1322	2281	1859	1740
G000099	300	599	212	328	351	249	783
G000100	386	1424	162	342	625	280	954
G000101	1379	7546	1449	1531	4091	2958	2211
G000102	4530	2877	4906	6003	2478	2975	789
G000103	1948	5573	1458	2031	3168	1600	1883
G000104	61374	86388	20108	68451	62226	56038	1099
G000105	597	1309	779	765	869	896	843
